2024.05.06,01:00,2303.37,2306.21,2300.48,2301.77,1865
2024.05.06,02:00,2301.83,2302.83,2293.24,2293.85,5702
2024.05.06,03:00,2293.87,2297.84,2291.74,2295.95,8210
2024.05.06,04:00,2295.79,2309.07,2295.79,2308.42,15267
2024.05.06,05:00,2308.39,2315.31,2307.45,2311.03,10401
2024.05.06,06:00,2310.95,2311.88,2308.26,2309.33,6814
2024.05.06,07:00,2309.34,2311.71,2308.12,2309.07,4855
2024.05.06,08:00,2309.06,2313.84,2308.68,2313.54,8614
2024.05.06,09:00,2313.52,2314.76,2311.69,2313.97,10972
2024.05.06,10:00,2313.87,2324.11,2312.32,2322.53,9554
2024.05.06,11:00,2322.58,2322.99,2317.26,2318.23,8691
2024.05.06,12:00,2318.22,2321.98,2315.57,2321.08,7436
2024.05.06,13:00,2321.09,2321.96,2318.63,2319.23,7630
2024.05.06,14:00,2319.22,2322.32,2315.91,2317.93,7943
2024.05.06,15:00,2317.95,2330.21,2314.51,2323.35,16026
2024.05.06,16:00,2323.54,2331.97,2321.57,2328.32,19651
2024.05.06,17:00,2328.37,2330.52,2318.89,2320.71,16277
2024.05.06,18:00,2320.71,2325.42,2319.48,2324.84,10757
2024.05.06,19:00,2324.84,2327.41,2317.61,2325.54,9686
2024.05.06,20:00,2325.41,2326.09,2320.96,2324.64,7693
2024.05.06,21:00,2324.72,2326.47,2324.27,2326.24,5010
2024.05.06,22:00,2326.23,2327.06,2323.49,2324.94,4658
2024.05.06,23:00,2324.93,2328.67,2323.47,2323.53,2714
2024.05.07,01:00,2324.28,2326.92,2324.28,2326.76,1669
2024.05.07,02:00,2326.77,2326.89,2322.13,2325.90,3427
2024.05.07,03:00,2325.99,2329.42,2325.48,2329.17,6723
2024.05.07,04:00,2329.17,2329.88,2322.39,2322.74,12418
2024.05.07,05:00,2322.72,2324.28,2319.61,2321.49,8438
2024.05.07,06:00,2321.48,2325.00,2321.10,2324.87,4653
2024.05.07,07:00,2324.88,2325.01,2321.34,2322.60,4904
2024.05.07,08:00,2322.59,2323.19,2320.26,2321.29,6554
2024.05.07,09:00,2321.29,2321.29,2318.29,2320.41,10833
2024.05.07,10:00,2320.42,2322.03,2317.65,2319.20,9028
2024.05.07,11:00,2319.22,2319.79,2311.69,2315.62,9391
2024.05.07,12:00,2315.61,2317.16,2312.63,2313.67,7625
2024.05.07,13:00,2313.67,2315.83,2312.09,2315.31,6771
2024.05.07,14:00,2315.35,2316.46,2312.08,2312.24,7178
2024.05.07,15:00,2312.22,2317.24,2309.90,2316.00,13188
2024.05.07,16:00,2315.98,2323.63,2315.27,2318.25,17560
2024.05.07,17:00,2318.36,2322.38,2312.22,2314.31,15194
2024.05.07,18:00,2314.27,2319.06,2312.69,2315.09,12661
2024.05.07,19:00,2315.08,2316.15,2312.35,2312.53,6467
2024.05.07,20:00,2312.48,2317.34,2311.03,2313.88,7453
2024.05.07,21:00,2313.87,2315.27,2312.85,2314.46,5182
2024.05.07,22:00,2314.45,2315.49,2311.75,2314.66,4952
2024.05.07,23:00,2314.65,2315.37,2312.55,2313.68,1748
2024.05.08,01:00,2313.43,2316.68,2313.31,2314.42,1628
2024.05.08,02:00,2314.43,2316.23,2314.12,2315.17,1659
2024.05.08,03:00,2315.15,2316.26,2313.73,2314.15,5517
2024.05.08,04:00,2314.21,2314.39,2306.76,2307.73,10560
2024.05.08,05:00,2307.66,2317.40,2307.26,2317.07,9992
2024.05.08,06:00,2317.00,2318.15,2315.35,2316.97,6254
2024.05.08,07:00,2316.98,2319.26,2316.80,2319.21,4632
2024.05.08,08:00,2319.20,2321.29,2317.60,2317.66,6727
2024.05.08,09:00,2317.63,2318.82,2313.54,2314.54,10093
2024.05.08,10:00,2314.58,2314.83,2305.33,2305.42,8532
2024.05.08,11:00,2305.39,2309.26,2303.57,2307.21,9370
2024.05.08,12:00,2307.21,2311.33,2306.93,2310.79,6177
2024.05.08,13:00,2310.83,2317.04,2310.63,2315.42,6727
2024.05.08,14:00,2315.48,2318.01,2312.82,2314.69,8385
2024.05.08,15:00,2314.72,2318.94,2313.35,2314.37,12194
2024.05.08,16:00,2314.40,2316.14,2306.76,2309.94,16147
2024.05.08,17:00,2309.91,2317.70,2308.97,2315.46,12711
2024.05.08,18:00,2315.47,2320.38,2312.62,2320.38,10824
2024.05.08,19:00,2320.39,2320.99,2315.77,2316.97,7859
2024.05.08,20:00,2317.00,2317.46,2313.60,2313.73,7169
2024.05.08,21:00,2313.72,2313.78,2311.34,2312.63,5020
2024.05.08,22:00,2312.56,2312.69,2307.96,2308.34,5071
2024.05.08,23:00,2308.33,2309.57,2307.82,2308.16,2138
2024.05.09,01:00,2308.49,2310.83,2308.25,2309.95,1274
2024.05.09,02:00,2309.96,2309.96,2307.94,2308.86,1671
2024.05.09,03:00,2308.82,2310.44,2307.78,2309.32,3199
